
"index_name","index_date","open_index_value","high_index_value","low_index_value","closing_index_value","points_change","change_percent","volume","turnover_rs_cr","pe_ratio","pb_ratio","div_yield"
"Nifty 50","2024-03-22","21932.20","22180.70","21883.30","22096.75","84.80","0.39","388656439","39023.19","22.81","3.87","1.21"
"Nifty Next 50","2024-03-22","58987.10","59326.25","58644.30","59188.90","270.60","0.46","239966115","10207.54","25.60","4.75","1.24"
"Nifty 100","2024-03-22","22476.70","22709.35","22414.50","22633.80","94.90","0.42","630024734","49320.98","23.48","4.04","1.19"
"Nifty 200","2024-03-22","12084.35","12204.85","12050.50","12168.75","54.25","0.45","1921544340","67660.17","23.64","4.00","1.15"
"Nifty 500","2024-03-22","19855.00","20048.60","19806.70","19994.60","97.20","0.49","2601583232","82714.83","24.25","4.02","1.11"
"Nifty Midcap 50","2024-03-22","13262.80","13357.75","13210.90","13329.95","24.55","0.18","699267974","9603.95","20.40","3.62","1.17"
"NIFTY Midcap 100","2024-03-22","46986.25","47371.00","46843.50","47312.85","279.30","0.59","1291519606","18339.19","24.53","3.79","0.88"
"NIFTY Smallcap 100","2024-03-22","14955.65","15092.95","14918.35","15056.75","96.45","0.64","331447979","7266.15","27.74","3.71","0.78"
"Nifty50 Dividend Points","2024-03-22","NaN","NaN","NaN","220.59","0.00","NaN","NaN","NaN","NaN","NaN","NaN"
"Nifty Auto","2024-03-22","20706.40","21177.40","20622.80","21046.40","346.15","1.67","52410949","6130.82","26.91","6.02","0.86"
"Nifty Bank","2024-03-22","46634.90","46974.15","46566.80","46863.75","178.85","0.38","172184807","10851.42","15.56","2.73","0.79"
"Nifty Energy","2024-03-22","38314.05","38618.05","38107.95","38411.55","83.20","0.22","119522088","6535.16","12.99","2.48","2.26"
"Nifty Financial Services","2024-03-22","20693.75","20846.05","20667.35","20783.55","68.75","0.33","119873388","12281.00","17.34","3.25","0.81"
"Nifty FMCG","2024-03-22","53312.90","53849.60","53305.05","53775.70","437.35","0.82","52649080","3765.20","42.95","11.16","1.95"
"Nifty IT","2024-03-22","35256.60","35419.25","34701.75","35188.40","-838.40","-2.33","48826144","8475.18","30.10","7.64","2.02"
"Nifty Media","2024-03-22","1823.45","1858.80","1821.45","1849.80","22.85","1.25","84690718","488.10","NaN","1.97","0.48"
"Nifty Metal","2024-03-22","8029.85","8169.45","7983.35","8130.80","78.05","0.97","179125574","4023.56","26.80","2.39","2.37"
"Nifty MNC","2024-03-22","25184.85","25490.50","25133.30","25455.60","241.45","0.96","33412580","4738.69","42.04","8.83","1.82"
"Nifty Pharma","2024-03-22","18594.75","18881.25","18583.75","18815.60","233.00","1.25","21427168","2429.73","35.92","5.13","0.73"
